,Episode,AvgRewards,EpisodeRewards
0,1.0,-601.0,-608.0
1,2.0,-439.0,-277.0
2,3.0,-317.6666666666667,-75.0
3,4.0,-7.0,925.0
4,5.0,104.0,557.0
5,6.0,257.6666666666667,1026.0
6,7.0,395.2857142857143,1221.0
7,8.0,494.625,1199.0
8,9.0,483.77777777777777,395.0
9,10.0,523.1,877.0
10,11.0,488.54545454545456,139.0
11,12.0,522.0833333333334,891.0
12,13.0,523.3076923076923,548.0
13,14.0,549.4285714285714,889.0
14,15.0,586.9333333333333,1101.0
15,16.0,573.875,378.0
16,17.0,530.1764705882352,-169.0
17,18.0,511.3333333333333,186.0
18,19.0,532.9473684210526,931.0
19,20.0,520.15,277.0
20,21.0,544.8571428571429,1039.0
21,22.0,496.77272727272725,-493.0
22,23.0,500.7826086956522,584.0
23,24.0,501.25,512.0
24,25.0,515.44,865.0
25,26.0,493.61538461538464,-52.0
26,27.0,516.6666666666666,1116.0
27,28.0,533.8928571428571,999.0
28,29.0,554.551724137931,1133.0
29,30.0,560.5666666666667,734.0
30,31.0,557.0967741935484,453.0
31,32.0,575.6875,1143.0
32,33.0,579.060606060606,685.0
33,34.0,551.2352941176471,-367.0
34,35.0,567.0285714285715,1103.0
35,36.0,563.6944444444445,453.0
36,37.0,574.4054054054054,959.0
37,38.0,575.1052631578947,619.0
38,39.0,520.9487179487179,-1542.0
39,40.0,504.75,-135.0
40,41.0,506.1707317073171,578.0
41,42.0,512.1190476190476,756.0
42,43.0,513.6511627906976,575.0
43,44.0,520.7954545454545,827.0
44,45.0,536.0666666666667,1225.0
45,46.0,549.5869565217391,1158.0
46,47.0,547.5744680851063,454.0
47,48.0,559.0416666666666,1114.0
48,49.0,560.3061224489796,621.0
49,50.0,551.92,139.0
50,51.0,560.2549019607843,977.0
51,52.0,550.5384615384615,55.0
52,53.0,561.811320754717,1148.0
53,54.0,573.4074074074074,1187.0
54,55.0,582.9818181818182,1100.0
55,56.0,569.9464285714286,-138.0
56,57.0,577.5263157894736,1002.0
57,58.0,569.0344827586207,83.0
58,59.0,563.9152542372881,267.0
59,60.0,571.6166666666667,1026.0
60,61.0,561.4754098360655,-50.0
61,62.0,543.0483870967741,-583.0
62,63.0,553.8095238095239,1221.0
63,64.0,544.40625,-54.0
64,65.0,545.0769230769231,585.0
65,66.0,549.9090909090909,864.0
66,67.0,552.044776119403,693.0
67,68.0,555.7352941176471,810.0
68,69.0,562.1449275362319,996.0
69,70.0,555.5142857142857,98.0
70,71.0,564.8732394366198,1227.0
71,72.0,572.0694444444445,1100.0
72,73.0,583.9041095890411,1446.0
73,74.0,591.3918918918919,1147.0
74,75.0,580.2933333333333,-241.0
75,76.0,576.0131578947369,264.0
76,77.0,571.1428571428571,199.0
77,78.0,571.1410256410256,586.0
78,79.0,578.2658227848101,1134.0
79,80.0,585.025,1128.0
80,81.0,590.5308641975308,1049.0
81,82.0,577.9878048780488,-438.0
82,83.0,580.8915662650602,828.0
83,84.0,585.7380952380952,987.0
84,85.0,584.2,464.0
85,86.0,587.8372093023256,896.0
86,87.0,576.448275862069,-403.0
87,88.0,579.3863636363636,844.0
88,89.0,584.4044943820224,1023.0
89,90.0,576.2444444444444,-159.0
90,91.0,580.5934065934066,979.0
91,92.0,587.445652173913,1211.0
92,93.0,593.1505376344086,1136.0
93,94.0,599.3510638297872,1173.0
94,95.0,603.5368421052632,997.0
95,96.0,597.2291666666666,-7.0
96,97.0,602.7731958762887,1135.0
97,98.0,607.2448979591836,1040.0
98,99.0,605.040404040404,398.0
99,100.0,599.52,53.0
100,101.0,614.53,909.0
101,102.0,619.5,220.0
102,103.0,632.18,1193.0
103,104.0,613.84,-916.0
104,105.0,617.6,922.0
105,106.0,618.46,1110.0
106,107.0,614.41,814.0
107,108.0,603.93,147.0
108,109.0,605.27,529.0
109,110.0,604.71,810.0
110,111.0,614.98,1167.0
111,112.0,614.73,865.0
112,113.0,610.36,101.0
113,114.0,607.34,585.0
114,115.0,605.25,903.0
115,116.0,610.1,861.0
116,117.0,618.4,659.0
117,118.0,623.53,713.0
118,119.0,620.28,597.0
119,120.0,615.32,-207.0
120,121.0,616.98,1206.0
121,122.0,626.11,398.0
122,123.0,626.81,657.0
123,124.0,627.6,597.0
124,125.0,630.83,1178.0
125,126.0,621.75,-956.0
126,127.0,616.41,581.0
127,128.0,613.33,699.0
128,129.0,603.88,184.0
129,130.0,606.15,960.0
130,131.0,605.88,444.0
131,132.0,600.94,658.0
132,133.0,604.88,1080.0
133,134.0,614.38,583.0
134,135.0,600.92,-244.0
135,136.0,605.28,889.0
136,137.0,592.46,-322.0
137,138.0,596.67,1031.0
138,139.0,611.23,-81.0
139,140.0,613.09,58.0
140,141.0,617.09,962.0
141,142.0,614.29,483.0
142,143.0,615.61,710.0
143,144.0,610.97,364.0
144,145.0,602.79,390.0
145,146.0,597.89,667.0
146,147.0,604.66,1140.0
147,148.0,604.71,1103.0
148,149.0,605.71,730.0
149,150.0,608.29,397.0
150,151.0,602.44,392.0
151,152.0,613.37,1165.0
152,153.0,607.46,557.0
153,154.0,603.61,821.0
154,155.0,604.29,1168.0
