,Trials,SARSAConvergence,QConvergence,pVal
0,0,3,22,5.545350074185288e-06
1,1,3,14,5.545350074185288e-06
2,2,3,9,5.545350074185288e-06
3,3,3,8,5.545350074185288e-06
4,4,6,6,5.545350074185288e-06
5,5,6,113,5.545350074185288e-06
6,6,7,58,5.545350074185288e-06
7,7,7,28,5.545350074185288e-06
8,8,7,19,5.545350074185288e-06
9,9,9,12,5.545350074185288e-06
10,10,3,36,5.545350074185288e-06
11,11,4,20,5.545350074185288e-06
12,12,4,14,5.545350074185288e-06
13,13,4,13,5.545350074185288e-06
14,14,5,12,5.545350074185288e-06
15,15,4,149,5.545350074185288e-06
16,16,4,113,5.545350074185288e-06
17,17,4,101,5.545350074185288e-06
18,18,4,65,5.545350074185288e-06
19,19,6,14,5.545350074185288e-06
20,20,2,112,5.545350074185288e-06
21,21,2,82,5.545350074185288e-06
22,22,2,35,5.545350074185288e-06
23,23,4,29,5.545350074185288e-06
24,24,6,18,5.545350074185288e-06
25,25,3,54,5.545350074185288e-06
26,26,3,25,5.545350074185288e-06
27,27,3,17,5.545350074185288e-06
28,28,3,15,5.545350074185288e-06
29,29,3,13,5.545350074185288e-06
30,30,3,208,5.545350074185288e-06
31,31,3,173,5.545350074185288e-06
32,32,4,114,5.545350074185288e-06
33,33,4,109,5.545350074185288e-06
34,34,4,22,5.545350074185288e-06
