,Trials,SARSAConvergence,QConvergence,pVal
0,0,4,124,0.001933503410088491
1,1,7,73,0.001933503410088491
2,2,7,21,0.001933503410088491
3,3,7,20,0.001933503410088491
4,4,7,13,0.001933503410088491
5,5,4,23,0.001933503410088491
6,6,4,14,0.001933503410088491
7,7,4,7,0.001933503410088491
8,8,5,5,0.001933503410088491
9,9,9,5,0.001933503410088491
10,10,3,106,0.001933503410088491
11,11,4,16,0.001933503410088491
12,12,4,9,0.001933503410088491
13,13,4,7,0.001933503410088491
14,14,4,6,0.001933503410088491
15,15,4,20,0.001933503410088491
16,16,5,19,0.001933503410088491
17,17,7,12,0.001933503410088491
18,18,9,7,0.001933503410088491
19,19,10,6,0.001933503410088491
20,20,3,48,0.001933503410088491
21,21,3,29,0.001933503410088491
22,22,3,13,0.001933503410088491
23,23,6,9,0.001933503410088491
24,24,8,9,0.001933503410088491
25,25,3,102,0.001933503410088491
26,26,3,27,0.001933503410088491
27,27,4,12,0.001933503410088491
28,28,7,10,0.001933503410088491
29,29,10,6,0.001933503410088491
